plothistoryID,sites.sitename,plot.name,plotarea,event.sequence,date,dateloc,distcat,disttype,level,units,percent.mortality,distnotes,plothistoryID.v1,tropical_extratropical
775,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1717,tropical
776,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1731,tropical
777,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1745,tropical
778,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1759,tropical
779,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1773,tropical
780,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1787,tropical
781,Entre-Rios E. grandis x urophylla stand 11,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1801,tropical
782,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1704,tropical
783,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1718,tropical
784,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1732,tropical
785,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1746,tropical
786,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1760,tropical
787,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1774,tropical
788,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1788,tropical
789,Entre-Rios E. grandis x urophylla stand 12,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1802,tropical
790,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1705,tropical
791,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1719,tropical
792,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1733,tropical
793,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1747,tropical
794,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1761,tropical
795,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1775,tropical
796,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1789,tropical
797,Entre-Rios E. grandis x urophylla stand 13,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1803,tropical
798,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1706,tropical
799,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1720,tropical
800,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1734,tropical
801,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1748,tropical
802,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1762,tropical
803,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1776,tropical
804,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1790,tropical
805,Entre-Rios E. grandis x urophylla stand 14,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1804,tropical
806,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1694,tropical
807,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1708,tropical
808,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1722,tropical
809,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1736,tropical
810,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1750,tropical
811,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1764,tropical
812,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1778,tropical
813,Entre-Rios E. grandis x urophylla stand 2,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1792,tropical
814,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1695,tropical
815,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1709,tropical
816,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1723,tropical
817,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1737,tropical
818,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1751,tropical
819,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1765,tropical
820,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1779,tropical
821,Entre-Rios E. grandis x urophylla stand 3,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1793,tropical
822,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1696,tropical
823,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1710,tropical
824,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1724,tropical
825,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1738,tropical
826,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1752,tropical
827,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1766,tropical
828,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1780,tropical
829,Entre-Rios E. grandis x urophylla stand 4,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1794,tropical
830,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1697,tropical
831,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1711,tropical
832,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1725,tropical
833,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1739,tropical
834,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1753,tropical
835,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1767,tropical
836,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1781,tropical
837,Entre-Rios E. grandis x urophylla stand 5,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1795,tropical
838,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1698,tropical
839,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1712,tropical
840,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1726,tropical
841,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1740,tropical
842,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1754,tropical
843,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1768,tropical
844,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1782,tropical
845,Entre-Rios E. grandis x urophylla stand 6,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1796,tropical
846,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1699,tropical
847,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1713,tropical
848,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1727,tropical
849,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1741,tropical
850,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1755,tropical
851,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1769,tropical
852,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1783,tropical
853,Entre-Rios E. grandis x urophylla stand 7,monoclonal (clone COP-0321),0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1797,tropical
854,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1700,tropical
855,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1714,tropical
856,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1728,tropical
857,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1742,tropical
858,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1756,tropical
859,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1770,tropical
860,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1784,tropical
861,Entre-Rios E. grandis x urophylla stand 8,monoclonal (clone COP-0321),0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1798,tropical
862,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,1,1990,8.5,Disturbance,Burned,NA,NA,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1701,tropical
863,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,2,1990,8.5,Disturbance,Cut,100,%,100,"site preparation included slash-and-burning of the initial vegetation, disking and harrowing",1715,tropical
864,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,3,1990,8.5,Regrowth,Planted,NA,NA,NA,(4-month-old clonal cuttings) Forest was planted between 1889 and 1991 at 3.5m x 2.6 m spacing,1729,tropical
865,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,4,1990,8.5,Management,Fertilization_N,14,kg ha-1,NA,NA,1743,tropical
866,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,5,1990,8.5,Management,Fertilization_P,43,kg ha-1,NA,NA,1757,tropical
867,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,6,1990,8.5,Management,Fertilization_K,14,kg ha-1,NA,NA,1771,tropical
868,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,7,1990,8.5,Management,Herbicide,14,kg ha-1,NA,Chemicals were applied during the first 2 years after planting to control weeds.,1785,tropical
869,Entre-Rios E. grandis x urophylla stand 9,mixed clonal plantation,0.0471,8,1990,8.5,Management,Pesticide,14,kg ha-1,NA,Chemicals were applied yearly to control leaf-cutting ants,1799,tropical
870,Eucalyptus saligna plantation,"2 yr C, 1m * 1m",0.01,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,642,tropical
871,Eucalyptus saligna plantation,"2 yr C, 1m * 1m",0.01,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,644,tropical
872,Eucalyptus saligna plantation,"2 yr C, 1m * 1m",0.01,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,646,tropical
873,Eucalyptus saligna plantation,"2 yr C, 1m * 1m",0.01,4,1994.328767,6,Establishment,Establishment of oldest trees,NA,NA,NA,NA,648,tropical
874,Eucalyptus saligna plantation,"2 yr C, 3m * 3m",0.0225,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,643,tropical
875,Eucalyptus saligna plantation,"2 yr C, 3m * 3m",0.0225,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,645,tropical
876,Eucalyptus saligna plantation,"2 yr C, 3m * 3m",0.0225,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,647,tropical
877,Eucalyptus saligna plantation,"2 yr C, 3m * 3m",0.0225,4,1994.328767,6,Establishment,Establishment of oldest trees,NA,NA,NA,NA,649,tropical
878,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,650,tropical
879,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,652,tropical
880,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,654,tropical
881,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,4,1994.328767,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",656,tropical
882,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,5,1994.328767,6,Establishment,Establishment of oldest trees,NA,NA,NA,NA,660,tropical
883,Eucalyptus saligna plantation,"2 yr F, 1m * 1m",0.01,6,1994.915068,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",658,tropical
884,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,651,tropical
885,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,653,tropical
886,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,655,tropical
887,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,4,1994.328767,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",657,tropical
888,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,5,1994.328767,6,Establishment,Establishment of oldest trees,NA,NA,NA,NA,661,tropical
889,Eucalyptus saligna plantation,"2 yr F, 3m * 3m",0.0225,6,1994.915068,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",659,tropical
890,Eucalyptus saligna plantation,"6 yr C, 1m * 1m",0.01,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,662,tropical
891,Eucalyptus saligna plantation,"6 yr C, 1m * 1m",0.01,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,664,tropical
892,Eucalyptus saligna plantation,"6 yr C, 1m * 1m",0.01,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,666,tropical
893,Eucalyptus saligna plantation,"6 yr C, 3m * 3m",0.0225,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,663,tropical
894,Eucalyptus saligna plantation,"6 yr C, 3m * 3m",0.0225,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,665,tropical
895,Eucalyptus saligna plantation,"6 yr C, 3m * 3m",0.0225,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,667,tropical
896,Eucalyptus saligna plantation,"6 yr F, 1m * 1m",0.01,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,670,tropical
897,Eucalyptus saligna plantation,"6 yr F, 1m * 1m",0.01,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,672,tropical
898,Eucalyptus saligna plantation,"6 yr F, 1m * 1m",0.01,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,674,tropical
899,Eucalyptus saligna plantation,"6 yr F, 1m * 1m",0.01,4,1994.328767,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",676,tropical
900,Eucalyptus saligna plantation,"6 yr F, 1m * 1m",0.01,5,1994.915068,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",678,tropical
901,Eucalyptus saligna plantation,"6 yr F, 3m * 3m",0.0225,1,1993,8,Disturbance,Harvest,NA,NA,NAC,NA,671,tropical
902,Eucalyptus saligna plantation,"6 yr F, 3m * 3m",0.0225,2,1994.328767,6,Management,Herbicide,NA,NA,NA,NA,673,tropical
903,Eucalyptus saligna plantation,"6 yr F, 3m * 3m",0.0225,3,1994.328767,6,Regrowth,Planted,NA,NA,NA,NA,675,tropical
904,Eucalyptus saligna plantation,"6 yr F, 3m * 3m",0.0225,4,1994.328767,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",677,tropical
905,Eucalyptus saligna plantation,"6 yr F, 3m * 3m",0.0225,5,1994.915068,6,Management,Fertilization,NA,NA,NA,"Total fertilizer application received during these two applications (representing current rates for operational plantations) was: 310 kg N/ha as urea, 130 kg P/ha and 125 kg Ca/ha as triple-superphosphate, 260 kg K/ha as potassium chloride, and 100 kg/ha of Granusol 2GB5 micronutrient fertilizer",679,tropical
906,Fazenda Cauaxi,Managed.conventional logging CCL1,,1,2000,8,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,NA,5646,tropical
907,Fazenda Cauaxi,Managed.conventional logging CCL1,,2,2000,8,Disturbance,Harvest,NI,NI,NAC,NA,5654,tropical
908,Fazenda Cauaxi,Managed.conventional logging CCL2,,1,2000,8,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,NA,5647,tropical
909,Fazenda Cauaxi,Managed.conventional logging CCL2,,2,2000,8,Disturbance,Harvest,NI,NI,NAC,NA,5655,tropical
910,Fazenda Cauaxi,Managed.reduced impact logging CRIL1,,1,2000,8,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,NA,5644,tropical
911,Fazenda Cauaxi,Managed.reduced impact logging CRIL1,,2,2000,8,Disturbance,Harvest,NI,NI,<100%,NA,5652,tropical
912,Fazenda Cauaxi,Managed.reduced impact logging CRIL2,,1,2000,8,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,NA,5645,tropical
913,Fazenda Cauaxi,Managed.reduced impact logging CRIL2,,2,2000,8,Disturbance,Harvest,NI,NI,<100%,NA,5653,tropical
914,Fazenda Cauaxi,undisturbed forest CUF1,,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,5642,tropical
915,Fazenda Cauaxi,undisturbed forest CUF2,,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,5643,tropical
916,Fazenda Vitoria,Forest recovery following 1984 pasture abandonment,NAC,1,1971,8,Disturbance,Grazed,2,animals ha-1,NA,seeded with Panicum maximum,682,tropical
917,Fazenda Vitoria,Forest recovery following 1984 pasture abandonment,NAC,2,1971,8,Management,Seeded_agriculture,NA,NA,NA,Panicum maximum,683,tropical
918,Fazenda Vitoria,Forest recovery following 1984 pasture abandonment,NAC,3,1984,8,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,NA,684,tropical
919,Fazenda Vitoria,Forest recovery following 1984 pasture abandonment,NAC,4,1993,8,Disturbance,Burned,NA,NA,<100%,accidental fires,685,tropical
920,Fazenda Vitoria,Forest recovery following 1984 pasture abandonment,NAC,5,1993,8,Establishment,Establishment of oldest trees,NA,NA,NA,NA,686,tropical
