plothistoryID,sites.sitename,plot.name,plotarea,date,daten,dateloc,distcat,disttype,level,units,distnotes,plothistoryID.v1
443,BUD-17_Budongo Plot 7,african tropical forest,1.86,NAC,NAC,9,No.info,NAC,NA,NA,NA,2101
444,Buen Uso,Tropical Dry Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
445,Bukit Soeharto,Forest recovery following fire,NAC,NI,NI,9,Disturbance,Burned,NA,NA,"Secondary forest, regenerating after fire in 1998",561
446,Bukit Soeharto,Forest recovery following fire,NAC,NI,NI,9,Regrowth,Initiation of natural succession,NA,NA,"Secondary forest, regenerating after fire in 1998",562
447,Bukit Soeharto,Forest recovery following fire,NAC,1998.01.01,19980101,8,Establishment,Establishment of oldest trees,NA,NA,"Secondary forest, regenerating after fire in 1998",563
448,Caballos,Tropical Moist Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
449,Cajunuma,UM,NAC,NI,NI,9,No.disturbance,No disturbance,NA,NA,NA,2270
450,Caliente,Tropical Wet Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
451,CAM-01_Campo Ma'an 1,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2102
452,CAM-02_Campo Ma'an 2,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2103
453,CAM-03_Campo Ma'an 3,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2104
454,Cambronero,Premontane Rain Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
455,Cano,"Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment",NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
456,Cano Rosalba 1,terra firma CRS-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2367
457,Cano Rosalba 2,terra firma CRS-02,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2368
458,CAP-09_Cape Three Points 9,african tropical mature wet evergreen rainforest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,No trace of disturbance (Afritron website),2105
459,CAP-10_Cape Three Points 10,african tropical mature wet evergreen rainforest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,No trace of disturbance (Afritron website),2106
460,"Capitao Paco,Para 1",old-growth tropical forest.CAP1,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
461,"Capitao Paco,Para 2",secondary tropical forest.CAP2,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
462,Caqueta,terra firma CAQ-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2369
463,Caqueta (Poorter),mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
464,Carajas,terra firma CAR-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2370
465,Cascada,"Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment",NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
466,Caxiuana,UM,NAC,1970.01.01,19700101,8,No.disturbance,No disturbance,NA,NA,"largely undisturbed, having been a reserve since 1970",564
467,Caxiuana 1 CAX-01,terra firma,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2371
468,Caxiuana 2 CAX-02,terra firma,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2372
469,Caxiuana Drought Control CAX-04,largely undisturbed terra firma forest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,largely undisturbed terra firma forest,2289
470,Caxiuana Terra Preta CAX-08,UM Late successional forest,1,1960.01.01,19600101,8.5,No.disturbance,No disturbance,NA,NA,well preserved late successional forest growing on  very fertile Terra Preta soil formed by human activities from ancient inhabitants during 720-300 years BP. Covered by forest that has remained largely undisturbed for at least 40 years since the creation of Caxiuana National Forest reserve.,2271
472,Caxiuana Tower CAX-06,tall primary forest near flux tower site,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,NA,2290
474,CELOS 67/9A,terra firma CEL-08,0.64,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2373
475,CELOS 67/9A,terra firma CEL-15,0.64,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2374
476,Central Rondonia Chronosequence Site a,Undisturbed forest,0.1,NI,NI,9,No.disturbance,No disturbance,NA,NA,NA,565
477,Central Rondonia Chronosequence Site b,Forest recovery following agricultural abandonment,0.1,NAC,NAC,9,Disturbance,Cultivation,NA,NA,NA,566
478,Central Rondonia Chronosequence Site b,Forest recovery following agricultural abandonment,0.1,1977.01.01,19770101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,567
479,Central Rondonia Chronosequence Site b,Forest recovery following agricultural abandonment,0.1,1977.01.01,19770101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,568
480,Central Rondonia Chronosequence Site c,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Thinned,NA,NA,Big primary forest trees left at the time of clearing.,569
481,Central Rondonia Chronosequence Site c,Forest recovery following agricultural abandonment,0.1,1979.01.01,19790101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,570
482,Central Rondonia Chronosequence Site c,Forest recovery following agricultural abandonment,0.1,1979.01.01,19790101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,571
483,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,cleared and burned after 2-year abandonment; corn plantation then pasture; burned and abandoned afterward,572
484,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,NI,NI,9,Disturbance,Burned,NA,NA,cleared and burned after 2-year abandonment; corn plantation then pasture; burned and abandoned afterward,573
485,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,NI,NI,9,Disturbance,Cultivation,1,harvest,maize,574
486,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,1981.01.01,19810101,8,Disturbance,Grazed,3,year,NA,575
487,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,1984.01.01,19840101,8,Disturbance,Burned,NA,NA,cleared and burned after 2-year abandonment; corn plantation then pasture; burned and abandoned afterward,576
488,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,1984.01.01,19840101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,577
489,Central Rondonia Chronosequence Site d,Forest recovery following agricultural and pasture abandonment,0.1,1984.01.01,19840101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,578
490,Central Rondonia Chronosequence Site e,Forest recovery following agricultural abandonment,0.1,1983.01.01,19830101,8,Disturbance,Cut,100,%,area cleared for cacao plantation,579
491,Central Rondonia Chronosequence Site e,Forest recovery following agricultural abandonment,0.1,1983.01.01,19830101,8,Disturbance,Cultivation,3,year,cacao,580
492,Central Rondonia Chronosequence Site e,Forest recovery following agricultural abandonment,0.1,1986.01.01,19860101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,581
493,Central Rondonia Chronosequence Site e,Forest recovery following agricultural abandonment,0.1,1986.01.01,19860101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,582
494,Central Rondonia Chronosequence Site f,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,area cleared and planted with corn,583
495,Central Rondonia Chronosequence Site f,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cultivation,2,harvest,maize,584
496,Central Rondonia Chronosequence Site f,Forest recovery following agricultural abandonment,0.1,1990.01.01,19900101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,585
497,Central Rondonia Chronosequence Site f,Forest recovery following agricultural abandonment,0.1,1990.01.01,19900101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,586
498,Central Rondonia Chronosequence Site g,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,area cleared and possibly cacao was introduced; recleared and abandoned,587
499,Central Rondonia Chronosequence Site g,Forest recovery following agricultural abandonment,0.1,1990.01.01,19900101,8,Regrowth,Initiation of natural succession,NA,NA,stand age from interviews and LANDSAT,588
500,Central Rondonia Chronosequence Site g,Forest recovery following agricultural abandonment,0.1,1992.01.01,19920101,8,Establishment,Establishment of oldest trees,NA,NA,stand age from interviews and LANDSAT,589
501,Central Rondonia Chronosequence Site h,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,area cleared and planted with corn,590
502,Central Rondonia Chronosequence Site h,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cultivation,NA,NA,maize,591
503,Central Rondonia Chronosequence Site h,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,cleared after harvest and abandoned,592
504,Central Rondonia Chronosequence Site h,Forest recovery following agricultural abandonment,0.1,1990.01.01,19900101,8,Regrowth,Initiation of natural succession,NA,NA,stand age from interviews and LANDSAT,593
505,Central Rondonia Chronosequence Site h,Forest recovery following agricultural abandonment,0.1,1992.01.01,19920101,8,Establishment,Establishment of oldest trees,NA,NA,stand age from interviews and LANDSAT,594
506,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,"cleared to develop a banana plantation, followed by rice",595
507,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cultivation,NA,NA,banana,596
508,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cultivation,NA,NA,rice,597
509,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Cut,100,%,cleared and burned then abandoned,598
510,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,NI,NI,9,Disturbance,Burned,NA,NA,cleared and burned then abandoned,599
511,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,1993.01.01,19930101,8,Regrowth,Initiation of natural succession*,NA,NA,stand age from interviews and LANDSAT,600
512,Central Rondonia Chronosequence Site i,Forest recovery following agricultural abandonment,0.1,1993.01.01,19930101,8,Establishment,Establishment of oldest trees*,NA,NA,stand age from interviews and LANDSAT,601
513,Cerro Pelao 1,terra firma CRP-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2375
514,Cerro Pelao 2,terra firma CRP-02,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2376
515,Chajul,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
516,Chamela - ReSerBos,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
517,Chamela 1 Lower,UM Mature terra firma,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,Unmanaged tropical forest that could be considered old-growth in structural/functional terms,602
519,Chamela 2 Middle,UM Mature terra firma,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,Unmanaged tropical forest that could be considered old-growth in structural/functional terms,603
521,Chamela 3 Upper,UM Mature terra firma,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,Unmanaged tropical forest that could be considered old-growth in structural/functional terms,604
523,Charabaru,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
524,Cheko,evergreen seasonal forest,NAC,NAC,NAC,9,No.info,NAC,NA,NA,NA,2107
525,"Chiribiquete, Tepuy",short-statured tropical forest.CHI1,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
526,"Chiribiquete,TF Alta",old-growth tropical forest.CHI2,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
527,Chonco,Tropical Moist Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
528,Chore 1,terra firma CHO-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2377
529,Chupadero,"Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment",NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
530,Cinnamon Bay,periodically disturbed secondary seasonally dry mixed forest,0.8,1989.01.01,19890101,8,Disturbance,Major storm,NA,NA,Hurricane Hugo,2224
531,Cinnamon Bay,periodically disturbed secondary seasonally dry mixed forest,0.8,1989.01.01,19890101,8,Regrowth,Initiation of natural succession,NA,NA,NA,2225
532,Cinnamon Bay,periodically disturbed secondary seasonally dry mixed forest,0.8,1858.01.01,18580101,8.5,Establishment,Establishment of oldest trees,NA,NA,NA,2226
533,Cockscomb,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
534,Cocoflux,coconut plantation,NAC,1983.01.01,19830101,8,Establishment,Establishment of oldest trees,NA,NA,Plantation. Export of albumen only (copra). Periodic (2 months) slash of grass under-storey. No fertilizer. No pruning,605
535,Cocoflux,coconut plantation,NAC,NAC,NAC,9,Regrowth,Planted,NA,NA,Plantation. Export of albumen only (copra). Periodic (2 months) slash of grass under-storey. No fertilizer. No pruning,606
536,Colorado Forest,Colorado forest,0.8,NAC,NAC,9,No.info,NAC,NA,NA,NA,2079
537,COMARA,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
538,Con Permiso,"Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment",NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
539,Congo Eucalyptus plantation chronosequence,Plantation.1.1-y,NAC,NI,NI,9,Regrowth,Planted,NA,NA,hybrid Eucalyptus,1688
540,Congo Eucalyptus plantation chronosequence,Plantation.2.1-y,NAC,NI,NI,9,Regrowth,Planted,NA,NA,hybrid Eucalyptus,1689
541,Congo Eucalyptus plantation chronosequence,Plantation.4.2-y,NAC,NI,NI,9,Regrowth,Planted,NA,NA,hybrid Eucalyptus,1690
542,Congo Eucalyptus plantation chronosequence,Plantation.5.2-y,NAC,NI,NI,9,Regrowth,Planted,NA,NA,hybrid Eucalyptus,1691
543,Congo Eucalyptus plantation chronosequence,Plantation.7.3-y,NAC,NI,NI,9,Regrowth,Planted,NA,NA,hybrid Eucalyptus,1692
544,Cordillera Central 2550ma.s.l.,montane tropical forest.COC1,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
545,Cordillera Central 3370ma.s.l.,montane tropical forest.COC2,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
546,Corinto,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
547,Cornelio,Premontane Rain Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
548,Costa Rican Carribean,Forest recovery following pasture abandonment,NAC,NI,NI,9,Disturbance,Grazed,NA,NA,NA,607
549,Costa Rican Carribean,Forest recovery following pasture abandonment,NAC,NI,NI,9,Regrowth,Initiation of natural succession,NA,NA,NA,608
550,Cubuy Annex of the Luquillo Experimental Forest,Forest recovery following pasture abandonment ,NAC,NAC,NAC,9,Disturbance,Grazed,NA,NA,NA,609
551,Cubuy Annex of the Luquillo Experimental Forest,Forest recovery following pasture abandonment ,NAC,1937.01.01,19370101,8.5,Regrowth,Planted,NA,NA,reforestation using a combination of planting and natural regeneration,610
552,Cubuy Annex of the Luquillo Experimental Forest,Forest recovery following pasture abandonment ,NAC,1937.01.01,19370101,8.5,Regrowth,Initiation of natural succession*,NA,NA,reforestation using a combination of planting and natural regeneration,611
553,Cubuy Annex of the Luquillo Experimental Forest,Forest recovery following pasture abandonment ,NAC,1937.01.01,19370101,8.5,Establishment,Establishment of oldest trees*,NA,NA,NA,612
554,Cubuy pine plantation,Stand development of unmanaged plantation,0.2,1961.01.01,19610101,8,Establishment,Establishment of oldest trees,NA,NA,age det based on precise records of planting dates,2031
555,Cubuy pine plantation,Stand development of unmanaged plantation,0.2,1961.01.01,19610101,8,Regrowth,Planted,NA,NA,Pinus caribaea,2039
556,Cubuy pine plantation,Stand development of unmanaged plantation,0.2,1972.01.01,19720101,8,Disturbance,Thinned,25,%,Thinned 25% in 1972 and selec- tively between 1975-1980.,2047
557,Cubuy pine plantation,Stand development of unmanaged plantation,0.2,1980.01.01,19800101,8,Disturbance,Thinned,NA,NA,Thinned 25% in 1972 and selec- tively between 1975-1980.,2048
558,Cubuy secondary forest,young secondary,0.2,1950.01.01,19500101,8.5,Establishment,Establishment of oldest trees*,NA,NA,"age det based on stand physiognomy, aerial photographs, landuse records",2032
559,Cubuy secondary forest,young secondary,0.2,1950.01.01,19500101,8.5,Regrowth,Initiation of natural succession*,NA,NA,NA,2040
560,Cuieiras Reserve Plateau CUR1,old-growth tropical forest.CUR1,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
561,Cuieiras Reserve Plateau CUR3,old-growth tropical forest.CUR3,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
562,Cuieiras Reserve Slope CUR4,old-growth tropical forest.CUR4,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
563,Cuieiras Reserve Valley CUR2,partially flooded tropical forest.CUR2,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
564,Cuieiras Reserve Valley CUR5,partially flooded tropical forest.CUR5,NAC,NAC,NAC,9,NAC,NAC,NAC,NAC,NAC,NA
565,Cuieiras/C14,UM,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,No documented disturbance,613
566,Culebra,Tropical Wet Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
567,Curua-Una e-serve,old-growth tropical forest.CUU,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
568,Cuyabeno,terra firma CYB-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2378
569,Cuzco Amazonico 1,"terra firma, floodplain, CUZAM1E CUZ-01",1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2379
570,Cuzco Amazonico 1,"terra firma, floodplain, CUZAM1U CUZ-02",1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2380
573,Cuzco Amazonico 2,"terra firma, floodplain, CUZAM2E CUZ-03",1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2381
574,Cuzco Amazonico 2,"terra firma, floodplain, CUZAM2U CUZ-04",1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2382
577,CVL-01_Cavalla 1,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2108
578,CVL-08_Cavalla 8,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2109
579,CVL-10_Cavalla 10,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2110
580,CVL-11_Cavalla 11,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2111
581,DAD-31f_Dadieso 3 occasionally flooded,african tropical forest,0.56,NAC,NAC,9,No.info,NAC,NA,NA,fSingle contiguous plot on two contrasting soil types,2112
582,DAD-32f_Dadieso 3 terra firma,african tropical forest,0.44,NAC,NAC,9,No.info,NAC,NA,NA,fSingle contiguous plot on two contrasting soil types,2113
583,DAD-41g_Dadieso 4 occasionally flooded,african tropical forest,0.28,NAC,NAC,9,No.info,NAC,NA,NA,gSingle contiguous plot on two contrasting soil types,2114
584,DAD-42g_Dadieso 4 terra firma,african tropical forest,0.72,NAC,NAC,9,No.info,NAC,NA,NA,gSingle contiguous plot on two contrasting soil types,2115
585,Darien-Premontane wet,Tropical premontane wet,NI,NAC,NAC,9,No.info,NAC,NA,NA,NA,2073
586,Darien-Rio Lara,Mature Tropical moist (cuipo/bongo) wet season,0.25,NAC,NAC,9,No.info,NAC,NA,NA,NA,2074
587,Darien-Rio Sabana,Mature Tropical moist (cuipo/bongo) dry season,0.25,NAC,NAC,9,No.info,NAC,NA,NA,NA,2075
588,Darien-Riverine,Riverine,NI,NAC,NAC,9,No.info,NAC,NA,NA,NA,2076
589,Darwin,mature 'old growth' forest,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
590,Deep Throat,Tropical Dry Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
591,Dinghushan (DHS),primary forest,NAC,1908.01.01,19080101,8,Establishment,Establishment of oldest trees,NA,NA,NA,615
592,Dinghushan (DHS),primary forest,NAC,1956.01.01,19560101,8,No.disturbance,No disturbance,NA,NA,Protected since 1956,616
593,Dinghushan 4,permanent plot,NAC,NI,NI,9,No.info,NI,NA,NA,NA,617
594,Dinghushan 5,Cryptocarya chinensis community,NAC,NRA,NRA,9,No.info,NRA,NA,NA,NA,618
595,Dinghushan 6,Cryptocarya concinna community,NAC,1948.01.01,19480101,8.5,Disturbance,Harvest,NA,NA,Logging 40 years ago (study was done 1988-1992),619
596,Dinghushan 6,Cryptocarya concinna community,NAC,1948.01.01,19480101,8.5,Regrowth,Initiation of natural succession,NA,NA,Some current vegetation was regenerated after logging,620
597,Dinghushan 7.broadleaf forest,monsoon evergreen broadleaf forest (MEBF),NAC,1600.01.01,16000101,8.5,No.disturbance,No disturbance,NA,NA,Protected for >400 years,621
598,Dinghushan 7.mixed forest,pine and broadleaf mixed forest (PBMF),NAC,1922.01.01,19220101,8,Establishment,Establishment of oldest trees,NA,NA,NA,622
599,Dinghushan 7.mixed forest,pine and broadleaf mixed forest (PBMF),NAC,1930.01.01,19300101,8.5,Regrowth,Planted,NA,NA,Pinus massoniana,623
600,Dinghushan 7.pine forest,pine forest (PF),NAC,NAC,NAC,9,Disturbance,Cut,100,%,Clearing and overcutting for fuel,624
601,Dinghushan 7.pine forest,pine forest (PF),NAC,1930.01.01,19300101,8.5,Regrowth,Planted,NA,NA,Pinus massoniana planted on severely degraded land during 1930-1950,625
602,Dinghushan 7.pine forest,pine forest (PF),NAC,1964.01.01,19640101,8,Disturbance,Harvest,NA,NA,"1964-1990, local people allowed to log small trees and harvest lower-canopy biomass for firewood",626
603,Dinghushan 7.pine forest,pine forest (PF),NAC,1926.01.01,19260101,8,Establishment,Establishment of oldest trees,NA,NA,NA,627
604,Dinghushan MEBF,UM,NAC,1604.01.01,16040101,8,Establishment,Establishment of oldest trees,NA,NA,No disturbance last 40 years,628
605,Dinghushan MEBF,UM,NAC,1964.01.01,19640101,8,No.disturbance,No disturbance,NA,NA,No disturbance last 40 years (assume since measurement year),629
606,Dinghushan MF,UM,NAC,1904.01.01,19040101,8,Establishment,Establishment of oldest trees,NA,NA,No disturbance last 40 years,630
607,Dinghushan MF,UM,NAC,1964.01.01,19640101,8,No.disturbance,No disturbance,NA,NA,No disturbance last 40 years (assume since measurement year),631
608,Dinghushan MPF,UM,NAC,1944.01.01,19440101,8,Establishment,Establishment of oldest trees,NA,NA,No disturbance last 40 years,632
609,Dinghushan MPF,UM,NAC,1964.01.01,19640101,8,No.disturbance,No disturbance,NA,NA,No disturbance last 40 years (assume since measurement year),633
610,Dinghushan.Erythrophleum fordii community,Erythrophleum fordii community,NAC,NI,NI,9,No.info,NI,NA,NA,NA,634
611,Dinghushan.lowland,lowland evergreen broadleaved forest,NAC,NI,NI,9,No.info,NI,NA,NA,NA,635
612,Dinghushan.mountain,mountain evergreen broadleaved forest,NAC,NI,NI,9,No.info,NI,NA,NA,NA,636
613,Dinghushan.ravine,ravine evergreen broadleaved forest,NAC,NI,NI,9,No.info,NI,NA,NA,NA,637
614,Divino,Tropical Moist Forest recovery following pasture abandonment,NAC,NI,NI,NA,Establishment,Establishment of oldest trees,NA,NA,NA,NA
615,DJA-01_Dja Interior L1,african tropical forest,2.25,NAC,NAC,9,No.info,NAC,NA,NA,NA,2117
616,DJA-02_Dja Interior L2,african tropical forest,2.5,NAC,NAC,9,No.info,NAC,NA,NA,NA,2118
617,DJA-03_Dja Interior L3,african tropical forest,2.5,NAC,NAC,9,No.info,NAC,NA,NA,NA,2119
618,DJA-04_Dja Interior L4,african tropical forest,2.5,NAC,NAC,9,No.info,NAC,NA,NA,NA,2120
619,DJA-05_Dja L5 Mekas,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2121
620,DJA-07_Dja L7 Alat-Makay Mixed,african tropical forest,0.5,NAC,NAC,9,No.info,NAC,NA,NA,NA,2122
621,DJA-09_Dja L9 Djomedjoh,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2123
622,DJA-17_Dja L7 Alat-Makay Mono-dominant,african tropical forest,0.2,NAC,NAC,9,No.info,NAC,NA,NA,NA,2124
623,DJK-01_Dja Somolomo,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2125
624,DJK-02_Dja Somolomo,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2126
