method.ID,method.citation,variable.name,method.category,method.notes
404,Malhi_2014_tpma,R_auto_wood_C,,"Bole respiration was measured using a closed dynamic chamber method with an IRGA (EGM-4) and soil respiration chamber (SRC-1) connected to a permanent collar, sealed to the tree bole surface"
405,Maier_2004_rcua,GPP,NPP + Ra,"GPP = NPPtotal + Ra = plant carbon expenditure PCE, Metcalfe et al. 2010"
406,Saldarriaga_1988_lcof,biomass_root_OM,,Root biomass sampled from pits and used to develop regression equations
407,Uhl_1984_sand,biomass_root_coarse_OM,,root harvesting in plots/pits
408,Uhl_1984_sand,ANPP,,litter collection
409,Uhl_1987_fcsf,LAI,,Yearly LAI was calculated by multiplying the average leaf area/mass value for each life form by the estimated leaf biomass in each life form and then summing over life forms.
410,Egunjobi_1979_band; Saldarriaga_1988_lcof; Uhl_1984_sand; Uhl_1987_fcsf,biomass_OM,,Summation of biomass components
412,Lugo_1992_cott; Sierra_2012_tcai; Sierra_2007_tcsi,biomass_root_fine_OM,,Soil cores
413,Lugo_1992_cott,biomass_root_OM,,Soil cores
414,Egunjobi_1979_band,biomass_ag_woody_OM,,Harvesting
415,Egunjobi_1979_band; Gehring_1999_rosv,biomass_ag_foliage_OM,,Harvesting
416,Gehring_1999_rosv,deadwood_OM,,Harvesting
417,Egunjobi_1979_band; Hughes_1999_bcan,organic.layer_OM,,Harvesting
418,Egunjobi_1979_band,biomass_root_OM,,Root weight was estimated by proportion from the rela- tionship in the two destructively sampled trees
419,Montagnini_2000_aiab,biomass_ag_woody_OM,,Harvest (thinning)
420,Montagnini_2000_aiab,biomass_ag_foliage_OM,,Harvest (thinning)
422,Saldarriaga_1988_lcof; Uhl_1984_sand; Uhl_1987_fcsf,biomass_ag_foliage_OM,,"Harvest, allometric relations"
423,Sierra_2007_satv; Sierra_2012_tcai,biomass_root_coarse_OM,,"Harvest, allometric relations"
424,Saldarriaga_1988_lcof,deadwood_OM,,"Harvest, allometric relations"
425,Alves_1997_bopa; Malhi_2014_tpma,ANPP_stem,,"Measured DBH, height; Allometric relations"
426,Uhl_1988_apie,deadwood_OM,,"Measured DBH, height; Allometric relations"
427,Malhi_2014_tpma,NPP,,Summation of NPP components
428,Malhi_2014_tpma,ANPP_repro_OM,,"Litter traps, separated into components, oven dried and weighed"
429,Uhl_1987_fcsf,biomass_root_OM,,root harvesting in plots/pits
430,Uhl_1984_sand,ANPP_foliage_OM,,litter collection
431,Malhi_2014_tpma,BNPP_fine root,,ingrowth cores
432,Hughes_1999_bcan,deadwood_OM,,Measured DBH; Allometric relations
433,Weaver_2001_ntfc,ANPP,,ANPP was estimated by summing annual litterfall accumulation (897 g/m2/year) plus biomass change due to delayed mortality (142 g/m2/year) plus estimated herbivory (25 g/m2/year)
434,Kadeba_1991_abpa,ANPP,,ANPP is mean periodic aboveground production plus mean annual litterfall
435,Uhl_1987_fcsf,ANPP,,ANPP was calculated by combining litter (leaf+branch) and growth data (allometric relations based on height and diameter).
437,Kira_1978_cano ,ANPP_folivory_OM,,"from caterpillar frass in littertraps, and assuming 13% efficiency; this = 4.4% of leaf prod."
438,Martinez-Yrizar_1996_nppo; Martinez-Yrizar_1992_agpo,ANPP_folivory_OM,,Comes out to about 9% of ANPP; tracked leaf studies. 
439,Weaver_1990_fsap,ANPP_folivory_OM,,"Followed herbivory of tagged leaves over 3 mo., to 12 m ht. maximum, got 1% herbivory in 90 days, extrapolated to 4% over a year;converted to /ha with LAI values based on plumb bob data and standing leaf biomass from mass/area relation. "
440,Sierra_2007_satv,ANPP_folivory_OM,,"estimated annual herbivory rates by ants in the area as 16% of leaf standing biomass (based on J. C. Giraldo and R. A. Bedoya, unpublished entomological data)."
441,Kira_1998_ntfk,ANPP_folivory_OM,,"Leaf herbivory rate (grazing by caterpillars, assuming efficiency of assimilation at 13%)"
442,Maass_2001_ntfc,ANPP_folivory_OM,,"See Filip et al. 1995. Loss of leaf mass to herbivores was determined from repeated measurements of damage on individually labeled leaves; percent leaf area also measured using discrete measurements over a 3-year period (1983-1985); For the long-term measurements, percent leaf area eaten measured by leaf tracing."
443,Saldarriaga_1988_lcof; Uhl_1984_sand,biomass_ag_woody_OM,,"Harvest, allometric relations"
444,Tepley_2017_vtfl,biomass_ag_OM,,"Measured dbh, total height, and crown base height for tree species > 1.5 cm dbh; measured total height and crown diameter for shrub species and tree species < 1.5 cm dbh; entered into allometric equations"
445,Condit_1998_tfcp;  Meakem_2017_rots,biomass_ag_C,,"Measured diameter of all stems following CTFS-ForestGEO protocol, estimated biomass based on allometries. Estimated C as 47% of biomass."
446,Condit_1998_tfcp;  Meakem_2017_rots,delta.agb_C,,"Measured diameter of all stems in repeat censuses following CTFS-ForestGEO protocol, estimated biomass based on allometries, calculated net biomass change as difference between the two censuses divided by census interval"
447,Condit_1998_tfcp;  Meakem_2017_rots,ANPP_woody_stem_C,,"Measured diameter of all stems in repeat censuses following CTFS-ForestGEO protocol, estimated biomass based on allometries, calculated woody productivity as summed changes in biomass of individual stems divided by census inverval"
448,Condit_1998_tfcp;  Meakem_2017_rots,woody.mortality_ag_C,,"Measured diameter of all stems following CTFS-ForestGEO protocol, estimated biomass based on allometries, calculated woody mortality as summed biomass of all stems that died divided by census interval"
449,Condit_1998_tfcp; Chave_2008_aefa; Lutz_2018_giol,biomass_ag_OM,,"Measured diameter of all stems following CTFS-ForestGEO protocol, estimated biomass based on allometries. "
450,Condit_1998_tfcp; Chave_2008_aefa; Johnson_2018_csss,woody.mortality_ag_OM,,"Measured diameter of all stems following CTFS-ForestGEO protocol, estimated biomass based on allometries of main stems, calculated woody mortality as summed biomass of all trees that died divided by census interval"
451,Condit_1998_tfcp; Chave_2008_aefa,ANPP_woody_stem_OM,,"Measured diameter of all stems in repeat censuses following CTFS-ForestGEO protocol, estimated biomass based on allometries, calculated woody productivity as summed changes in biomass of individual stems divided by census inverval"
452,Condit_1998_tfcp; Chave_2008_aefa,delta.agb_OM,,"Measured diameter of all stems in repeat censuses following CTFS-ForestGEO protocol, estimated biomass based on allometries, calculated net biomass change as difference between the two censuses divided by census interval"
453,Lasslop_2009_sone,GPP,,"Estimated from daytime partitioning method; variable USTAR threshold, with reference selected from GPP versions using model efficiency (MEF)"
454,Reichstein_2005_otso,GPP,,"Estimated from nighttime partitioning method; variable USTAR threshold, with reference selected from GPP versions using model efficiency (MEF)"
