site.ID,sites.sitename,network,alt.names,super.site,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,sand,silt,clay,soil.classification,soil.notes,hydrology.notes,site.notes,geographic.area,biogeog,Koeppen,FAO.ecozone,site.ID.v1,measurement.refs,site.ref,ref.notes,lacks.info.from.ori.pub,loaded.from,loaded.by,potential_duplicate_group,potential_duplicate_group_parsed,confirmed.unique,potential_duplicate_group_manual,duplicate.notes
182,Bionte T4 B1 SB3,NA,NA,NA,Manaus,Amazonas,Brazil,-2.63,-60.17,73,NA,27.1,NAC,NAC,2381,Dry season length 3 mths,NAC,NAC,NAC,NAC,older oxisol,NA,terra firma,NA,36,South America,Af,Tropical rainforest,108,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,49,1;2,NAC,46,NA
183,Bionte T4 B2 SB1,NA,NA,NA,Manaus,Amazonas,Brazil,-2.63,-60.17,73,NA,27.1,NAC,NAC,2381,Dry season length 3 mths,NAC,NAC,NAC,NAC,older oxisol,NA,terra firma,NA,36,South America,Af,Tropical rainforest,110,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,49,1;2,NAC,46,NA
184,Bionte T4 B4 SB4,NA,NA,NA,Manaus,Amazonas,Brazil,-2.63,-60.17,73,NA,27.1,NAC,NAC,2381,Dry season length 3 mths,NAC,NAC,NAC,NAC,older oxisol,NA,terra firma,NA,36,South America,Af,Tropical rainforest,109,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,49,1;2,NAC,46,NA
185,Luquillo Experimental Forest: Bisley watersheds 1 and 2,NA,NA,Luquillo,NAC,Puerto Rico,United States of America,18.32,-65.82,355,"elevation 260-450. steep, highly dissected",NAC,NAC,NAC,3500,3000-4000 mm yr-1,NAC,NAC,NAC,NAC,NAC,NA,NAC,Secondary tabonuco forest,80,North America,Am,Tropical rainforest,360,Scatena_1993_banc; Scatena_1996_tffy,Scatena_1996_tffy,NA,NA,NA,NA,50,1;2,NAC,47,NA
186,Bissiga B12,NA,NA,NA,NAC,Oubritenga,Burkina Faso,12.6833,-1.1667,300,NA,NAC,16,40,632,dry season 5-7 months,NAC,NAC,NAC,NAC,ferric luvisol,"ferric luvisol, ferruginous",NAC,NA,81,Africa,BSh,Tropical dry forest,322,Nygard_2004_wyis,NA,NA,NA,NA,NA,0,0,NA,0,NA
187,Bitagron,NA,NA,NA,NAC,Sipaliwini,Suriname,5.079,-56.201,NAC,NA,NAC,NAC,NAC,2151,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,82,South America,Af,Tropical rainforest,1369,Poorter_2015_decs,NA,NA,NA,NA,NA,0,0,NA,0,NA
188,BKK-01a_Boukoko,NA,NA,NA,NAC,Lobaye,Central African Republic,3.83,18,487,NA,23.7,NAC,NAC,1677,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,83,Africa,Aw,Tropical rainforest,211,Lewis_2009_icsi,NA,NA,NA,Lewis2009; Liu_2014_htpa,NA,0,0,NA,0,NA
189,Black Rock Forest Chronosequence,NA,NA,NA,NAC,New York,United States of America,41.4,-74.017,280,NA,10.57,-2.7,23.4,1206,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,84,North America,Dfa,Temperate mountain system,NA,Xu_2012_ados,NA,NA,NA,NA,NA,0,0,NA,0,NA
190,"Black Spruce Muskeg, Site 1",NA,NA,NA,NAC,Alaska,United States of America,64,-148,166.7,NA,-3.441666921,NAC,NAC,376,NA,NAC,NAC,NAC,NAC,Inceptisol,Inceptisol. Pergelic Cryaquept.,NA,NA,85,North America,Dfc,Boreal mountain system,NA,DeAngelis_1981_pofe,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
191,"Black Spruce Muskeg, Site 2",NA,NA,NA,NAC,Alaska,United States of America,64,-148,469.7,NA,-3.441666921,NAC,NAC,376,NA,NAC,NAC,NAC,NAC,Inceptisol,Inceptisol. Pergelic Cryaquept.,NA,NA,85,North America,Dfc,Boreal mountain system,NA,DeAngelis_1981_pofe,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
192,Black Spruce-Feather Moss Site,NA,NA,NA,NAC,Alaska,United States of America,64,-148,NAC,NA,-3.441666921,NAC,NAC,376,NA,NAC,NAC,NAC,NAC,Inceptisol,Inceptisol. Pergelic Cryaquept.,NA,NA,85,North America,Dfc,Boreal mountain system,NA,DeAngelis_1981_pofe,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,0,NA
193,Blodgett Forest,FluxNet,NA,NA,NAC,California,United States of America,38.88,-120.61,1315,NA,11.45,NAC,NAC,1540.33,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,86,North America,Csb,Subtropical mountain system,NA,Falge_2002_soer; Goldstein_2015_fub; Misson_2005_iorf; Xu_2003_svic,Misson_2005_iorf; Law_2002_ecoc,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
194,Blue Mountain 1,NA,NA,NA,NAC,Oregon,United States of America,43.6776,-122.916,654,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
195,Blue Mountain 2,NA,NA,NA,NAC,Oregon,United States of America,43.7362,-122.9288,449,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
196,Blue Mountain 3,NA,NA,NA,NAC,Oregon,United States of America,43.6915,-122.9297,543,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
197,Blue Mountain 4,NA,NA,NA,NAC,Oregon,United States of America,43.6943,-122.8992,803,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
198,Blue Mountain 5,NA,NA,NA,NAC,Oregon,United States of America,43.7037,-122.9292,876,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
199,Blue Mountain 6,NA,NA,NA,NAC,Oregon,United States of America,43.7062,-122.9356,704,NA,NAC,NAC,NAC,NAC,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,87,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,NA,Sun et al 2004,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
200,Blue Mtn. Mor Ridge,NA,NA,NA,NAC,Saint Andrew,Jamaica,18.08,-76.65,1615,montane,15.8,NAC,NAC,2230,NA,NAC,NAC,NAC,NAC,NAC,mor,NAC,Tropical montane,88,North America,Aw,Tropical mountain system,340,Clark_2013_ntfc; Tanner_1980_sotb,NA,"Tanner 1977, 1980a,b,1985",NA,NA,NA,55,1,1,52,NA
201,Blue Mtn. Mull Ridge,NA,NA,NA,NAC,Saint Andrew,Jamaica,18.08,-76.65,1600,montane,15.5,NAC,NAC,2230,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,Tropical montane,88,North America,Aw,Tropical mountain system,341,Clark_2013_ntfc; Tanner_1980_sotb,NA,"Tanner 1977, 1980a,b,1985",NA,NA,NA,55,1,1,52,NA
202,Blue Mtn.Gap Forest,NA,NA,NA,NAC,Saint Andrew,Jamaica,18.08,-76.65,1590,montane,15.5,NAC,NAC,2230,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,Tropical montane,88,North America,Aw,Tropical mountain system,342,Clark_2013_ntfc; Tanner_1980_sotb,NA,"Tanner 1977, 1980a,b,1985",NA,NA,NA,55,1,1,52,NA
203,Blue Mtn.Wet Slope Forest,NA,NA,NA,NAC,Saint Andrew,Jamaica,18.08,-76.65,1570,montane,15.3,NAC,NAC,2230,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,Tropical montane,88,North America,Aw,Tropical mountain system,343,Clark_2013_ntfc; Tanner_1980_sotb,NA,"Tanner 1977, 1980a,b,1985",NA,NA,NA,55,1,1,52,NA
204,Bogi 1 (PA),NA,NA,NA,NAC,Orellana,Ecuador,-0.7,-76.48,271,NA,24.9,NAC,NAC,3152,Dry season length 0.31 mths,NAC,NAC,NAC,NAC,inceptisol,NA,terra firma,NA,38,South America,Af,Tropical rainforest,125,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,56,1,1,53,NA
205,Bogi 2 (PB),NA,NA,NA,NAC,Orellana,Ecuador,-0.7,-76.47,270,NA,25,NAC,NAC,3140,Dry season length 0.31 mths,NAC,NAC,NAC,NAC,inceptisol,NA,terra firma,NA,38,South America,Af,Tropical rainforest,126,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,56,1,1,53,NA
206,"Bomi Cupressus, Sabina",NA,NA,NA,Changdu,Tibet,China,30.1,95,NAC,NA,11.2,NAC,NAC,582,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,89,Asia,Dwb,Subtropical mountain system,NA,Luo_1996_ponp,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,0,NA
207,"Bomi Picea, Abies 1",NA,NA,NA,NAC,Tibet,China,29.92,95.88,NAC,NA,9,NAC,NAC,850,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,90,Asia,Dwc,Subtropical mountain system,NA,Feng_1999_fbap,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,0,NA
208,"Bomi Picea, Abies 2",NA,NA,NA,Changdu,Tibet,China,29.8,95.7,NAC,NA,6.6,NAC,NAC,850,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,90,Asia,Dwc,Subtropical mountain system,NA,Luo_1996_ponp,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,0,NA
209,Bomi Quercus 1,NA,NA,NA,Changdu,Tibet,China,29.7,96.1,NAC,NA,6.4,NAC,NAC,850,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,91,Asia,ET,Subtropical mountain system,NA,Luo_1996_ponp,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,0,NA
210,Bomi Quercus 2,NA,NA,NA,Changdu,Tibet,China,29.8,95.7,NAC,NA,7.7,NAC,NAC,850,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,90,Asia,Dwc,Subtropical mountain system,NA,Luo_1996_ponp,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,0,NA
211,Bonanza 5A,LTER,BNZ LTER-5A,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,133,"coordinates imprecise. ""along the floodplain of the Tanana River, ~30km southwest of Fairbanks, Alaska (64deg48min N, 147deg52min W)",-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,Pergelic Cryaquepts,Pergelic Cryaquepts,Soil Drainage:  Wet,NA,12,North America,Dfc,Boreal tundra woodland,NA,Ruess_2003_cfrd,Ruess_2003_cfrd,NA,1,Luyssaert_2007_cbob; Bond-Lamberty_2004_corr,Maria;R script: Bond-Lamberty,58,1,1,55,probably unique
212,Bonanza 5C,LTER,BNZ LTER-5C,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,129,coordinates imprecise,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,Pergelic Cryaquepts,Pergelic Cryaquepts,Soil Drainage:  Wet,NA,12,North America,Dfc,Boreal tundra woodland,NA,Ruess_2003_cfrd,Ruess_2003_cfrd,NA,1,Luyssaert_2007_cbob; Bond-Lamberty_2004_corr,Maria;R script: Bond-Lamberty,58,1,1,55,probably unique
213,Bonanza 5D,LTER,BNZ LTER-5D,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,NI,coordinates imprecise,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,Pergelic Cryaquepts,Pergelic Cryaquepts,Soil Drainage:  Wet,NA,12,North America,Dfc,Boreal tundra woodland,NA,Ruess_2003_cfrd,Ruess_2003_cfrd,NA,1,Luyssaert_2007_cbob; Bond-Lamberty_2004_corr,Maria;R script: Bond-Lamberty,58,1,1,55,probably unique
214,Bonanza Creek high-elevation area with no permafrost (high-np),LTER,Bonanza 6.1; Bonanza Creek Long Term Ecological Research (LTER) study within the Bonanza Creek Experimental Forest,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,580,"part of the Bonanza Creek Long Term Ecological Research (LTER) study within the Bonanza Creek Experimental Forest (64deg48min N, 147deg52min W). ",-3.3,-24.9,16.4,269,NA,clay loam,NAC,NAC,NAC,Loess,Loess,Soil Drainage:  Dry,NA,12,North America,Dfc,Boreal tundra woodland,NA,Vogel_2005_sarr,Vogel_2005_sarr,NA,1,Luyssaert_2007_cbob,Maria,58,1,1,55,probably unique
215,Bonanza Creek mid-elevation deep permafrost area (mid-dp),NA,Bonanza 6.2,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,184,"Within 30km of High-np, which is part of the Bonanza Creek Long Term Ecological Research (LTER) study within the Bonanza Creek Experimental Forest (64deg48min N, 147deg52min W). ",-3.3,-24.9,16.4,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Vogel_2005_sarr,Vogel_2005_sarr,NA,1,Luyssaert_2007_cbob,Maria,58,1,1,55,probably unique
216,Bonanza Creek low-elevation shallow permafrost (low-sp),NA,Bonanza 6.3,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.8,-147.87,124,"Within 30km of High-np, which is part of the Bonanza Creek Long Term Ecological Research (LTER) study within the Bonanza Creek Experimental Forest (64deg48min N, 147deg52min W). ",-3.3,-24.9,16.4,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Vogel_2005_sarr,Vogel_2005_sarr,NA,1,Luyssaert_2007_cbob,Maria,58,1,1,55,probably unique
217,Bonanza Creek/Standard Creek,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.783333,-148.375,NAC,*took average of two coordinates,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Grunzweig_2015_scic,NA,NA,NA,NA,Maria,0,0,1,0,probably unique
218,Bonanza FP2,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
219,Bonanza FP3,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
220,Bonanza FP4,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
221,Bonanza FP5,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
222,Bonanza UP2,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
223,Bonanza UP3,NA,NA,Bonanza Creek ,Fairbanks,Alaska,United States of America,64.75,-148.25,NI,NA,-3.5,NAC,NAC,269,NA,clay loam,NAC,NAC,NAC,NAC,NA,NA,NA,12,North America,Dfc,Boreal tundra woodland,NA,Gower_2001_nppa; Ruess_1996_cofr,Ruess_1996_cofr,Olsen et al 2001,1,Luyssaert_2007_cbob,Maria,0,0,1,0,probably unique
224,Boqueron,NA,NA,NA,NAC,Colon,Panama,9.333333,-79.833333,NAC,on Lago Alajuela in Chagres National Park.,NAC,NAC,NAC,2650,4 month long dry season from Dec-April,silty loam,NAC,NAC,NAC,NAC,Light grey surface,NAC,NA,7,North America,Am,Tropical rainforest,278,Kraenzel_2003_csoh,NA,NA,NA,NA,NA,4,1,1,4,NA
225,Boreal Soil and Air Warming Experiment site,NA,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),Thompson,Manitoba,Canada,55.88,-98.33,NAC,NA,-3,NAC,NAC,510,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Bronson_2007_ross,NA,NA,NA,NA,NA,59,1,supersite,56,NA
226,BOREAS NOBS-1850,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.879,-98.48,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
227,BOREAS University of California-1850,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.879,-98.484,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
228,BOREAS University of California-1930,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.906,-98.525,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
229,BOREAS University of California-1964,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.912,-98.382,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
230,BOREAS University of California-1981,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.863,-98.485,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
231,BOREAS University of California-1989,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.917,-98.964,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,60,1;2,supersite,57,NA
232,BOREAS University of California-1998,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,56.636,-99.948,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,93,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,61,1;2,supersite,58,NA
233,BOREAS University of California-2003,FluxNet,NA,NA,NAC,Manitoba,Canada,55.898,-98.216,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,62,1,NA,0,NA
234,BOREAS University of Wisconsin-D1850,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.879,-98.48,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
235,BOREAS University of Wisconsin-D1930,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.908,-98.519,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
236,BOREAS University of Wisconsin-D1964,FluxNet,NA,NA,NAC,Manitoba,Canada,55.92,-98.656,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,0,0,NA,0,NA
237,BOREAS University of Wisconsin-D1981,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.864,-98.483,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,59,1,supersite,56,NA
238,BOREAS University of Wisconsin-D1989,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,55.906,-98.979,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,92,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,60,1;2,supersite,57,NA
239,BOREAS University of Wisconsin-D1998,FluxNet,NA,BOREAS (Boreal Ecosystem-Atmospehre Study),NAC,Manitoba,Canada,56.628,-99.942,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,93,North America,Dfc,Boreal coniferous forest,NA,Goulden_2011_pong,NA,NA,NA,NA,NA,61,1;2,supersite,58,NA
240,Bornhoved Alder,NA,NA,NA,NAC,Schleswig-Holstein,Germany,54.1,10.23,NI,NA,8.9,NAC,NAC,772,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,94,Europe,Cfb,Temperate oceanic forest,NA,Kutsch_2001_fmor; Luyssaert_2007_cbob,Kutsch_2001,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
241,Bornhoved Beech,NA,NA,NA,NAC,Schleswig-Holstein,Germany,54.1,10.23,NI,NA,8.9,NAC,NAC,772,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,94,Europe,Cfb,Temperate oceanic forest,NA,Kutsch_2001_tcco; Luyssaert_2007_cbob,Kutsch_2001,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
242,Boulder junction C,NA,NA,NA,NAC,Wisconsin,United States of America,46.16,-89.66,500,NA,NAC,NAC,NAC,NAC,NA,sandy loam,NAC,NAC,NAC,NAC,NA,NA,NA,95,North America,Dfb,Temperate continental forest,NA,Haynes_1995_bcai,Haynes_1995_bcai,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
243,Boulder junction fertilized,NA,NA,NA,NAC,Wisconsin,United States of America,46.16,-89.66,500,NA,NAC,NAC,NAC,NAC,NA,sandy loam,NAC,NAC,NAC,NAC,NA,NA,NA,95,North America,Dfb,Temperate continental forest,NA,Haynes_1995_bcai,Haynes_1995_bcai,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,0,NA
244,BR-319_M01_TN_1500,NA,NA,NA,NAC,Amazonas,Brazil,-3.353,-59.856,NAC,NA,NAC,NAC,NAC,2236,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,36,South America,Am,Tropical rainforest,1322,Poorter_2015_decs,NA,NA,NA,NA,NA,65,1,1,61,NA
245,BR-319_M01_TN_3500,NA,NA,NA,NAC,Amazonas,Brazil,-3.346,-59.83,NAC,NA,NAC,NAC,NAC,2236,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,36,South America,Am,Tropical rainforest,1323,Poorter_2015_decs,NA,NA,NA,NA,NA,65,1,1,61,NA
246,BR-319_M02_TN_0500,NA,NA,NA,NAC,Amazonas,Brazil,-3.688,-60.332,NAC,NA,NAC,NAC,NAC,2281,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,96,South America,Am,Tropical rainforest,1324,Poorter_2015_decs,NA,NA,NA,NA,NA,66,1,1,62,NA
247,BR-319_M02_TN_1500,NA,NA,NA,NAC,Amazonas,Brazil,-3.683,-60.324,NAC,NA,NAC,NAC,NAC,2280,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,96,South America,Am,Tropical rainforest,1325,Poorter_2015_decs,NA,NA,NA,NA,NA,66,1,1,62,NA
248,BR-319_M02_TN_4500,NA,NA,NA,NAC,Amazonas,Brazil,-3.669,-60.301,NAC,NA,NAC,NAC,NAC,2280,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,96,South America,Am,Tropical rainforest,1326,Poorter_2015_decs,NA,NA,NA,NA,NA,66,1,1,62,NA
249,BR-319_M04_TN_0500,NA,NA,NA,NAC,Amazonas,Brazil,-4.383,-60.943,NAC,NA,NAC,NAC,NAC,2373,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,97,South America,Af,Tropical rainforest,1327,Poorter_2015_decs,NA,NA,NA,NA,NA,67,1,1,63,NA
250,BR-319_M04_TN_3500,NA,NA,NA,NAC,Amazonas,Brazil,-4.402,-60.923,NAC,NA,NAC,NAC,NAC,2381,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,97,South America,Af,Tropical rainforest,1328,Poorter_2015_decs,NA,NA,NA,NA,NA,67,1,1,63,NA
251,BR-319_M05_TN_(-)0500,NA,NA,NA,NAC,Amazonas,Brazil,-4.616,-61.244,NAC,NA,NAC,NAC,NAC,2392,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,98,South America,Af,Tropical rainforest,1329,Poorter_2015_decs,NA,NA,NA,NA,NA,68,1,1,64,NA
